label,group,n,correct,errors,accuracy,top_wrong_predictions,median_duration_s,median_raw_speed,median_raw_low_motion_frac,mean_z_duration_s,mean_rank_duration_s,mean_z_raw_speed_mean,mean_rank_raw_speed_mean,mean_z_raw_acc_mean,mean_rank_raw_acc_mean,mean_z_raw_jerk_mean,mean_rank_raw_jerk_mean,mean_z_raw_pose_amplitude,mean_rank_raw_pose_amplitude,mean_z_raw_low_motion_frac,mean_rank_raw_low_motion_frac,mean_z_raw_cad_hz,mean_rank_raw_cad_hz
Carefully,CARE,21,14,7,0.6666666666666666,Meticulously (2); Peacefully (1); Rapidly (1); Gently (1),17.05000000167638,0.25620668925601026,0.07367940627852522,0.5922678937249494,0.725,-0.5014890129509336,0.3,-0.4311939782599793,0.3,-0.3980970542726643,0.3,-0.4900998439418311,0.275,-0.2908396989897368,0.35,-0.24446108595163038,0.425
Slowly,SLOW,70,64,6,0.9142857142857143,Quietly (1); Evenly (1); Intently (1); Calmly (1),17.5,0.25878963875546585,0.07602339181286549,0.9997861692484171,0.9044117647058824,-0.6961725563295297,0.23529411764705882,-0.6043068719818322,0.25735294117647056,-0.5837955890438028,0.25735294117647056,-0.27061135808487247,0.38235294117647056,0.12774413841868124,0.5220588235294118,-0.18710803626699293,0.4411764705882353
Steadily,NEUT,60,54,6,0.9,Rapidly (2); Leisurely (1); Forcefully (1); Lightly (1),17.34999999962747,0.2905462427669525,0.11789525936957061,0.11152114607366787,0.5666666666666667,-0.27675072842148946,0.4083333333333333,-0.21049895075920985,0.44166666666666665,-0.18424425748812226,0.44166666666666665,-0.013210801944238347,0.5,0.07400703423646708,0.5375,-0.07197266642908072,0.4666666666666667
Calmly,SLOW,59,54,5,0.9152542372881356,Anxiously (1); Leisurely (1); Slowly (1); Gracefully (1),17.499999998137355,0.25148951602702385,0.09627904366371084,0.15188792372081622,0.5344827586206896,-0.3225060467034771,0.3706896551724138,-0.3219013578403019,0.41379310344827586,-0.31263413803875795,0.4051724137931034,-0.2112925758554216,0.41379310344827586,0.05102456772447863,0.5301724137931034,-0.14224452385121075,0.43103448275862066
Leisurely,SLOW,53,48,5,0.9056603773584906,Calmly (1); Steadily (1); Attentively (1); Anxiously (1),20.199999999254942,0.21863258329010596,0.06417112299465241,0.9453332428334887,0.8773584905660378,-0.6990773454248674,0.22641509433962265,-0.6652265139427077,0.24528301886792453,-0.6050584034006045,0.2830188679245283,-0.11293893979743351,0.44339622641509435,-0.12219331072180169,0.45754716981132076,-0.06699979637891229,0.46226415094339623
Hurriedly,FAST,52,47,5,0.9038461538461539,quickly (1); Swiftly (1); Confidently (1); Slowly (1),11.700000002980232,0.41394492561588797,0.09774436090225563,-1.2105046368981023,0.00980392156862745,1.02948584331124,0.9019607843137255,1.0253908520959278,0.8921568627450981,1.0160767759286282,0.8823529411764706,0.07245915668738583,0.5392156862745098,0.13485428981118636,0.5490196078431373,0.3410697969902912,0.6176470588235294
Rapidly,FAST,24,21,3,0.875,Steadily (2); Diligently (1),13.699999999254942,0.43477429221380887,0.10034453057708871,-1.1586038321519432,0.0625,1.1522899644156093,0.9375,1.059817944132126,0.9166666666666666,0.9916184060904408,0.8958333333333334,0.6323288831373769,0.7708333333333334,0.09100257910007896,0.5208333333333334,0.15810981835823623,0.5625
Smoothly,NEUT,18,15,3,0.8333333333333334,Frantically (1); Orderly (1); Hurriedly (1),16.750000001862645,0.2599261038143279,0.07515135789655769,0.5583166181453544,0.6944444444444444,-0.6217887614647138,0.3055555555555556,-0.6222062117781464,0.25,-0.639221587937495,0.2222222222222222,0.3074242508925587,0.6666666666666666,-0.04299092639201427,0.5,-0.19541728909122408,0.4166666666666667
Anxiously,NERV,31,29,2,0.9354838709677419,Calmly (1); Leisurely (1),11.949999999254942,0.28540612411004407,0.05089400490826224,-1.2541000033739704,0.0,1.0621370847062421,0.8833333333333333,0.9443990742920725,0.8333333333333334,0.9131240410092735,0.8333333333333334,0.2979846016312362,0.6166666666666667,-0.05652077205572308,0.4583333333333333,0.10460272243964377,0.5333333333333333
Meticulously,CARE,16,14,2,0.875,Carefully (2),21.0,0.278223052171209,0.059907834101382486,0.8374388479139457,0.8666666666666667,-0.7370327924461508,0.2,-0.693202760408457,0.23333333333333334,-0.6671123167556795,0.23333333333333334,-0.12957746608067758,0.4666666666666667,0.4973072067912785,0.7,-0.021586327662692816,0.5
